sample_id,radar_activity,communication_intensity,movement_consistency,weapon_signature,proximity_score,intent_label
surveillance-0055,0.809758,0.780519,0.535352,0.335946,0.49993,surveillance
hostile-0168,0.651171,0.874473,0.414573,0.872099,1.0,hostile
benign-0023,0.245222,0.202592,0.872642,0.200397,0.047446,benign
benign-0067,0.130418,0.221142,0.478391,0.07831,0.497244,benign
hostile-0174,0.748174,0.770767,0.762751,0.893297,0.595112,hostile
surveillance-0049,0.544837,0.57732,0.807271,0.445967,0.597811,surveillance
benign-0070,0.38952,0.361636,0.824351,0.213496,0.141397,benign
hostile-0178,0.906928,0.638403,0.656008,0.928166,0.968989,hostile
benign-0020,0.0,0.435678,0.987518,0.0,0.23258,benign
benign-0150,0.0,0.339812,1.0,0.0,0.292006,benign
hostile-0062,0.823634,0.922965,0.504441,0.590351,0.648612,hostile
hostile-0085,0.6123,0.907798,0.346493,0.83488,0.553296,hostile
benign-0169,0.394077,0.000381,0.554766,0.03372,0.419808,benign
hostile-0153,0.880546,0.774825,0.340214,0.773119,0.696633,hostile
hostile-0081,0.889266,0.577116,0.255583,0.924087,0.725919,hostile
hostile-0160,0.886167,0.903789,0.245553,0.495481,0.764386,hostile
surveillance-0104,0.835451,0.510983,0.625391,0.379256,0.413122,surveillance
hostile-0115,0.669371,0.952772,0.548416,0.73793,1.0,hostile
hostile-0031,0.825477,0.940469,0.206418,0.96051,0.788748,hostile
benign-0025,0.387964,0.335216,0.824132,0.023928,0.264142,benign
surveillance-0146,0.71505,0.199808,0.56723,0.0262,0.651301,surveillance
hostile-0019,0.821377,0.696153,0.574009,0.976536,1.0,hostile
surveillance-0107,0.626228,0.632512,0.654822,0.341769,0.665964,surveillance
surveillance-0110,0.512386,0.30815,0.566116,0.290226,0.626002,surveillance
benign-0138,0.194985,0.359653,0.773623,0.12397,0.460605,benign
benign-0032,0.230102,0.421893,0.779129,0.111881,0.231873,benign
surveillance-0115,0.763464,0.717229,0.798972,0.494475,0.485131,surveillance
hostile-0010,1.0,0.534507,0.396729,0.879501,0.985871,hostile
benign-0024,0.015714,0.454525,0.857277,0.226063,0.497423,benign
surveillance-0167,0.697947,0.354117,0.801208,0.833182,0.489307,surveillance
benign-0005,0.201811,0.176988,0.498806,0.0,0.290771,benign
benign-0149,0.192422,0.381,0.61492,0.194005,0.128566,benign
surveillance-0134,0.604953,0.359813,0.903256,0.406431,0.648937,surveillance
hostile-0076,0.584061,1.0,0.345136,0.858079,0.95462,hostile
benign-0130,0.169643,0.306303,0.719721,0.108876,0.132144,benign
surveillance-0083,0.705391,0.654464,0.372209,0.1525,0.718253,surveillance
hostile-0162,0.641938,0.926406,0.81691,0.92003,0.910706,hostile
hostile-0048,0.677149,0.756765,0.263713,1.0,0.90578,hostile
surveillance-0052,0.669571,0.639911,0.73732,0.310011,0.563334,surveillance
surveillance-0019,0.608582,0.539949,0.843593,0.136659,0.686777,surveillance
benign-0122,0.034022,0.266936,0.648086,0.0,0.295189,benign
hostile-0149,1.0,0.504136,0.182174,1.0,0.784521,hostile
hostile-0030,0.835069,0.701959,0.341543,0.836044,0.597806,hostile
hostile-0177,0.680898,0.860319,0.377933,1.0,1.0,hostile
benign-0013,0.214964,0.510236,0.822499,0.103658,0.234006,benign
hostile-0002,0.470692,0.690028,0.447846,0.793381,0.50205,hostile
benign-0090,0.116793,0.146654,0.459844,0.173185,0.378948,benign
hostile-0028,0.727458,0.869626,0.608591,0.886923,0.899334,hostile
surveillance-0020,0.878282,0.686195,0.813689,0.343368,0.68429,surveillance
benign-0172,0.344335,0.454651,0.76421,0.065439,0.37794,benign
hostile-0166,0.812448,0.612004,0.330494,0.797815,0.473456,hostile
benign-0076,0.365863,0.0,0.643282,0.41261,0.038446,benign
benign-0100,0.168617,0.298097,0.599736,0.085271,0.178511,benign
benign-0002,0.193346,0.139572,0.645036,0.125976,0.096933,benign
benign-0134,0.246102,0.0,0.62197,0.354033,0.222062,benign
surveillance-0067,0.610596,0.664509,0.575907,0.079439,0.580485,surveillance
benign-0058,0.494098,0.578395,0.596146,0.060661,0.239237,benign
benign-0055,0.332504,0.620542,0.796451,0.101028,0.474123,benign
benign-0171,0.126334,0.330101,0.8259,0.111368,0.243583,benign
surveillance-0130,0.786152,0.51233,0.608206,0.183788,0.626648,surveillance
benign-0105,0.199212,0.370435,0.852492,0.015962,0.308447,benign
benign-0174,0.313661,0.260388,0.9179,0.308752,0.412478,benign
surveillance-0169,0.771945,0.416815,0.756101,0.29927,0.844303,surveillance
hostile-0129,0.572741,0.894952,0.392057,0.681302,1.0,hostile
surveillance-0131,0.544591,0.425156,0.684351,0.283645,0.48588,surveillance
hostile-0086,0.864384,0.930662,0.699897,0.858346,0.743237,hostile
surveillance-0040,0.539222,0.401096,0.764184,0.32237,0.30011,surveillance
benign-0153,0.241397,0.401071,0.700756,0.06798,0.0,benign
benign-0112,0.410007,0.357897,0.754873,0.081298,0.230125,benign
hostile-0112,0.777205,0.95141,0.838505,0.712527,0.780443,hostile
surveillance-0074,1.0,0.747803,0.207776,0.338852,0.377664,surveillance
hostile-0172,0.506846,0.500626,0.628451,0.725324,1.0,hostile
benign-0119,0.018939,0.313074,1.0,0.188614,0.459725,benign
benign-0127,0.417339,0.542953,0.622956,0.343433,0.345539,benign
surveillance-0062,0.535915,0.68565,0.499126,0.299873,0.193201,surveillance
surveillance-0100,0.681906,0.646874,0.603892,0.460961,0.809698,surveillance
surveillance-0088,0.664155,0.815263,0.882543,0.559661,0.379328,surveillance
hostile-0018,0.628665,0.661759,0.202012,1.0,0.825689,hostile
hostile-0159,0.873264,0.648895,0.288484,0.562914,0.675585,hostile
benign-0178,0.293054,0.0,0.927265,0.252013,0.498337,benign
surveillance-0148,0.555774,0.514156,0.619523,0.198719,0.603805,surveillance
hostile-0138,1.0,0.465897,0.551587,0.648977,0.849097,hostile
hostile-0089,0.712077,0.610683,0.531866,0.645642,0.717895,hostile
surveillance-0136,1.0,0.541498,0.767007,0.073649,0.606563,surveillance
surveillance-0004,0.820678,0.80847,0.530573,0.309398,0.156946,surveillance
hostile-0041,0.731821,0.881046,0.140343,0.915627,0.756333,hostile
surveillance-0168,0.386456,1.0,0.719957,0.437254,0.544025,surveillance
surveillance-0038,0.725756,0.503925,0.741396,0.273084,0.690904,surveillance
hostile-0107,0.782715,1.0,0.356349,0.613912,0.729077,hostile
surveillance-0079,0.502148,0.280353,0.644766,0.490328,0.485874,surveillance
surveillance-0154,0.762295,0.688835,0.600584,0.233158,0.55526,surveillance
hostile-0014,0.532409,0.706393,0.537607,0.955752,0.763062,hostile
hostile-0106,0.635834,1.0,0.447563,0.828114,0.763442,hostile
benign-0057,0.243548,0.323434,0.719934,0.0,0.352567,benign
benign-0091,0.043862,0.805971,0.626101,0.298366,0.403589,benign
hostile-0073,0.723065,0.627521,0.401706,1.0,0.60494,hostile
surveillance-0117,0.726531,0.455875,0.738967,0.316786,0.375551,surveillance
surveillance-0034,0.734998,0.315148,0.474343,0.304914,0.587318,surveillance
surveillance-0044,0.441159,0.545744,0.696747,0.220001,0.573138,surveillance
surveillance-0096,0.465952,0.667555,0.759954,0.231235,0.734855,surveillance
benign-0052,0.077469,0.524657,0.501439,0.014853,0.275698,benign
hostile-0097,0.844327,0.800179,0.564069,0.805665,0.720022,hostile
benign-0155,0.277119,0.244234,0.80497,0.376297,0.0,benign
benign-0031,0.393658,0.451319,0.829106,0.31278,0.275146,benign
surveillance-0015,0.809361,0.539563,0.390725,0.145494,0.925926,surveillance
surveillance-0151,0.367923,0.725503,0.664858,0.302188,0.213577,surveillance
benign-0126,0.374712,0.209221,0.990358,0.141018,0.088778,benign
benign-0145,0.204937,0.401051,0.86481,0.142973,0.473127,benign
benign-0103,0.089148,0.162059,0.794694,0.18722,0.122143,benign
surveillance-0176,0.501751,0.703499,0.336308,0.078481,0.696161,surveillance
surveillance-0140,0.595443,0.359718,0.566594,0.451524,0.73062,surveillance
hostile-0092,0.829146,0.827555,0.400654,0.736402,0.611165,hostile
surveillance-0081,0.70769,0.427482,0.749536,0.271865,0.763929,surveillance
surveillance-0002,0.815648,0.458766,0.964428,0.316223,0.594149,surveillance
surveillance-0054,0.62488,0.568737,0.784368,0.374903,0.296848,surveillance
hostile-0131,0.868677,0.690066,0.169407,0.876321,0.956035,hostile
hostile-0095,0.889223,0.847659,0.601917,0.74376,0.714298,hostile
benign-0080,0.0,0.141133,0.681626,0.102633,0.452615,benign
benign-0066,0.044043,0.0,0.712624,0.090024,0.312828,benign
hostile-0005,0.626692,0.751205,0.569742,0.923155,0.845052,hostile
surveillance-0072,0.511212,0.496504,0.528929,0.244469,0.732857,surveillance
benign-0069,0.282785,0.439634,0.534782,0.219218,0.143429,benign
surveillance-0179,0.582398,0.563061,0.474336,0.304217,0.322949,surveillance
benign-0131,0.329133,0.095408,0.680445,0.104321,0.373574,benign
benign-0035,0.289317,0.402187,0.671685,0.129105,0.352928,benign
benign-0099,0.0,0.36929,0.594476,0.165002,0.078108,benign
hostile-0023,0.939657,0.607808,0.331719,0.853324,0.96998,hostile
benign-0158,0.103531,0.252919,0.686975,0.091951,0.391478,benign
benign-0072,0.439112,0.397111,0.854862,0.076401,0.081801,benign
surveillance-0147,0.524999,0.650324,0.605009,0.0,0.592923,surveillance
benign-0082,0.102281,0.289855,0.673627,0.255474,0.248392,benign
hostile-0133,0.638988,0.615093,0.522152,0.476018,0.729014,hostile
hostile-0006,0.915296,0.868066,0.507064,0.725189,0.964176,hostile
benign-0133,0.103398,0.247261,0.799498,0.164332,0.108677,benign
surveillance-0008,0.337579,0.349881,0.911934,0.306429,0.657784,surveillance
benign-0089,0.105197,0.632499,0.865639,0.230932,0.456606,benign
benign-0053,0.264097,0.272205,0.610701,0.063363,0.177439,benign
benign-0094,0.326346,0.530459,0.87621,0.390265,0.160803,benign
hostile-0027,0.814583,0.831539,0.594864,0.88037,0.636906,hostile
surveillance-0103,0.549161,0.869512,0.559693,0.203323,0.443942,surveillance
surveillance-0122,0.697929,0.472244,0.598209,0.340064,0.53172,surveillance
surveillance-0022,0.838793,0.795934,0.461929,0.223473,0.323212,surveillance
surveillance-0166,0.725553,0.213361,0.736959,0.274341,0.652267,surveillance
benign-0034,0.194651,0.484062,0.800401,0.017413,0.268863,benign
surveillance-0149,0.751622,0.500066,0.567097,0.370257,0.576614,surveillance
hostile-0158,0.868033,0.907019,0.433368,0.983255,0.865291,hostile
hostile-0069,0.688473,0.689453,0.500127,0.762303,0.541016,hostile
benign-0015,0.158515,0.4347,0.844248,0.136468,0.064614,benign
surveillance-0095,0.568535,0.952848,0.673235,0.239313,0.705083,surveillance
benign-0159,0.175442,0.192133,0.763594,0.113318,0.342165,benign
hostile-0016,0.734059,0.846802,0.387021,1.0,0.616211,hostile
benign-0019,0.356362,0.318138,0.610104,0.192232,0.337218,benign
